Designator,Mid X,Mid Y,Rotation,Layer
+5V,-70.79,44.31,90.0,top
C1,-93.99,56.35,90.0,top
C2,-90.65,44.68,180.0,top
C3,-85.09,44.91,180.0,bottom
C4,-85.09,54.82,180.0,bottom
C5,-95.54,52.74,270.0,bottom
C6,-90.88,54.23,180.0,top
C7,-91.6,49.42,270.0,top
CRYSTAL,-90.07,51.85,270.0,bottom
DZ1,-96.27,50.8375,90.0,top
DZ2,-93.83,50.83,90.0,top
F1,-96.39,56.4,270.0,top
MISO,-70.78,54.32,270.0,bottom
PRG,-89.78,42.22,0.0,top
PWR,-89.71,57.17,0.0,top
R1,-94.01,46.28,90.0,bottom
R2,-96.15,46.28,270.0,bottom
R3,-77.26,57.3,0.0,top
R4,-95.12,45.94,180.0,top
R5,-81.91,57.32,0.0,top
R6,-86.24,57.17,0.0,top
R7,-86.31,42.22,0.0,top
Slow,-96.5,42.12,0.0,top
U1,-83.36,49.61,0.0,top
U2,-82.31,49.85,0.0,bottom
USB-A-MALE,-101.2,49.72,270.0,top
V-target,-82.24,42.31,0.0,top
